H_mean,S_mean,V_mean,H_std,S_std,V_std,Gray_mean,Gray_std,Edge_density,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,label
0.228,0.607,0.354,0.075,0.217,0.179,0.294,0.155,0.094,0.034,0.058,0.043,0.1,0.265,0.145,0.074,0.055,0.226,belalang
0.236,0.541,0.554,0.072,0.243,0.18,0.492,0.194,0.172,0.079,0.095,0.052,0.091,0.148,0.107,0.063,0.098,0.267,tanpaserangga
0.215,0.502,0.611,0.109,0.236,0.198,0.556,0.204,0.165,0.09,0.09,0.052,0.087,0.124,0.109,0.064,0.09,0.294,belalang
0.251,0.297,0.781,0.202,0.336,0.229,0.747,0.262,0.099,0.058,0.063,0.026,0.08,0.084,0.151,0.05,0.098,0.391,tanpaserangga
0.219,0.175,0.641,0.222,0.229,0.186,0.618,0.206,0.076,0.074,0.082,0.05,0.09,0.104,0.119,0.07,0.098,0.312,tanpaserangga
0.229,0.462,0.435,0.08,0.189,0.193,0.377,0.169,0.115,0.082,0.078,0.059,0.085,0.124,0.092,0.066,0.082,0.333,belalang
0.294,0.205,0.694,0.269,0.24,0.207,0.668,0.228,0.094,0.071,0.069,0.04,0.098,0.12,0.137,0.078,0.098,0.289,tanpaserangga
0.215,0.5,0.412,0.08,0.205,0.178,0.355,0.159,0.037,0.054,0.079,0.06,0.096,0.131,0.1,0.076,0.083,0.322,belalang
0.247,0.807,0.505,0.017,0.236,0.123,0.408,0.134,0.109,0.093,0.085,0.051,0.075,0.139,0.107,0.065,0.09,0.295,belalang
0.237,0.525,0.652,0.027,0.141,0.119,0.573,0.12,0.104,0.075,0.074,0.057,0.101,0.159,0.123,0.074,0.086,0.251,belalang
0.33,0.648,0.382,0.099,0.346,0.18,0.313,0.156,0.059,0.063,0.074,0.046,0.103,0.148,0.145,0.069,0.09,0.263,tanpaserangga
0.247,0.728,0.665,0.018,0.208,0.147,0.549,0.16,0.119,0.096,0.087,0.052,0.076,0.137,0.107,0.064,0.09,0.291,belalang
0.252,0.924,0.374,0.022,0.097,0.098,0.284,0.082,0.063,0.066,0.085,0.052,0.095,0.17,0.121,0.066,0.094,0.251,belalang
0.236,0.51,0.459,0.026,0.125,0.129,0.405,0.124,0.146,0.082,0.096,0.046,0.086,0.148,0.115,0.065,0.097,0.265,belalang
0.221,0.467,0.619,0.122,0.26,0.217,0.571,0.233,0.142,0.087,0.082,0.043,0.077,0.123,0.108,0.063,0.091,0.325,belalang
0.212,0.297,0.681,0.19,0.336,0.315,0.647,0.33,0.112,0.053,0.064,0.024,0.075,0.096,0.122,0.045,0.088,0.432,tanpaserangga
0.229,0.567,0.615,0.033,0.151,0.115,0.539,0.117,0.127,0.095,0.098,0.055,0.078,0.131,0.092,0.073,0.092,0.285,belalang
0.248,0.92,0.47,0.019,0.111,0.106,0.361,0.096,0.113,0.079,0.09,0.048,0.083,0.166,0.114,0.066,0.092,0.262,belalang
0.254,0.453,0.442,0.068,0.156,0.187,0.397,0.183,0.082,0.062,0.091,0.053,0.101,0.16,0.125,0.073,0.094,0.242,belalang
0.33,0.516,0.316,0.161,0.391,0.164,0.265,0.148,0.07,0.063,0.074,0.041,0.09,0.111,0.117,0.066,0.088,0.35,tanpaserangga
0.255,0.548,0.409,0.015,0.065,0.05,0.349,0.051,0.032,0.069,0.086,0.062,0.097,0.116,0.108,0.082,0.096,0.284,belalang
0.235,0.4,0.518,0.05,0.053,0.11,0.462,0.103,0.086,0.07,0.098,0.054,0.093,0.15,0.11,0.065,0.095,0.263,belalang
0.228,0.548,0.38,0.078,0.223,0.19,0.322,0.172,0.122,0.066,0.071,0.047,0.08,0.169,0.11,0.066,0.074,0.317,belalang
0.234,0.456,0.382,0.049,0.062,0.091,0.336,0.086,0.073,0.068,0.096,0.052,0.092,0.148,0.112,0.068,0.099,0.266,belalang
0.217,0.55,0.357,0.082,0.239,0.181,0.304,0.16,0.132,0.07,0.069,0.049,0.089,0.164,0.103,0.062,0.076,0.319,belalang
